Dataset,Column_names,Missing_value_count,Missing_count_percentage (%)
reviews,review_comment_title,87656,88.34153027493349
reviews,review_comment_message,58247,58.70253164556962
orders,order_approved_at,160,0.1608994278014099
orders,order_delivered_carrier_date,1783,1.7930229985619612
orders,order_delivered_customer_date,2965,2.981667521444877
products,product_category_name,610,1.8512336499650999
products,product_name_lenght,610,1.8512336499650999
products,product_description_lenght,610,1.8512336499650999
products,product_photos_qty,610,1.8512336499650999
products,product_weight_g,2,0.006069618524475737
products,product_length_cm,2,0.006069618524475737
products,product_height_cm,2,0.006069618524475737
products,product_width_cm,2,0.006069618524475737
